Provinsi,Tanggal,Curah_Hujan_mm
Maluku,2023-01-01,2.0309775133757286
Maluku Utara,2023-01-01,3.5657673776458627
Kepulauan Bangka Belitung,2023-01-01,1.0643250718315442
Banten,2023-01-01,18.54610728427028
Gorontalo,2023-01-01,0.0
Papua Barat,2023-01-01,0.4254253424496866
Jawa Barat,2023-01-01,8.836770316461829
Papua,2023-01-01,1.7278604639977302
Sulawesi Utara,2023-01-01,2.3309411604648025
Sumatera Selatan,2023-01-01,6.853989183494452
Kepulauan Riau,2023-01-01,4.521757325520827
Riau,2023-01-01,3.250381003325672
Sulawesi Barat,2023-01-01,0.5938056361189434
Sulawesi Selatan,2023-01-01,0.5443977760617535
Aceh,2023-01-01,0.0063346803856074
Bali,2023-01-01,15.7903980050464
DI Yogyakarta,2023-01-01,5.7273158116637815
DKI Jakarta,2023-01-01,23.126305359353942
Jambi,2023-01-01,6.151157827261781
Jawa Tengah,2023-01-01,6.834689175647334
Jawa Timur,2023-01-01,7.002441897866192
Kalimantan Barat,2023-01-01,2.092020440089826
Kalimantan Selatan,2023-01-01,2.073955795988157
Kalimantan Tengah,2023-01-01,2.815064849638759
Kalimantan Timur,2023-01-01,1.561102765325473
Lampung,2023-01-01,10.92110860432416
Nusa Tenggara Barat,2023-01-01,5.372384766838917
Nusa Tenggara Timur,2023-01-01,12.268006737857236
Sulawesi Tengah,2023-01-01,0.0459234505812963
Sulawesi Tenggara,2023-01-01,0.5054204470507266
Sumatera Barat,2023-01-01,4.965494948061362
Sumatera Utara,2023-01-01,1.4364444567630337
Maluku,2023-01-02,0.9942616469553668
Maluku Utara,2023-01-02,0.6306266266687006
Kepulauan Bangka Belitung,2023-01-02,7.731121122394403
Banten,2023-01-02,22.73494061523299
Gorontalo,2023-01-02,5.450414885495455
Papua Barat,2023-01-02,0.0495098307305694
Jawa Barat,2023-01-02,13.013066285945706
Papua,2023-01-02,2.3002039003815784
Sulawesi Utara,2023-01-02,2.8991143480967647
Sumatera Selatan,2023-01-02,10.363282438379418
Kepulauan Riau,2023-01-02,5.940429420932848
Riau,2023-01-02,6.493197789433536
Sulawesi Barat,2023-01-02,1.0859651053692472
Sulawesi Selatan,2023-01-02,4.6718017817916255
Aceh,2023-01-02,0.7434616119288189
Bali,2023-01-02,26.091029983077156
DI Yogyakarta,2023-01-02,13.068083010271907
DKI Jakarta,2023-01-02,28.067780584633063
Jambi,2023-01-02,11.763484531360987
Jawa Tengah,2023-01-02,13.87244801892889
Jawa Timur,2023-01-02,17.022735383818453
Kalimantan Barat,2023-01-02,6.806345122376905
Kalimantan Selatan,2023-01-02,10.174176293460896
Kalimantan Tengah,2023-01-02,4.670721306070565
Kalimantan Timur,2023-01-02,9.25582638615091
Lampung,2023-01-02,12.554513051660876
Nusa Tenggara Barat,2023-01-02,20.53166449361651
Nusa Tenggara Timur,2023-01-02,2.3249297562453664
Sulawesi Tengah,2023-01-02,2.8664373897138296
Sulawesi Tenggara,2023-01-02,2.2547893930115834
Sumatera Barat,2023-01-02,14.68522064485659
Sumatera Utara,2023-01-02,2.5757768094691884
Maluku,2023-01-03,2.011345072309396
Maluku Utara,2023-01-03,1.7954906948472775
Kepulauan Bangka Belitung,2023-01-03,20.15173492741614
Banten,2023-01-03,22.810087361081507
Gorontalo,2023-01-03,5.139441575524897
Papua Barat,2023-01-03,2.940706385329732
Jawa Barat,2023-01-03,10.894587493280428
Papua,2023-01-03,5.118020563485552
Sulawesi Utara,2023-01-03,2.1056357945172506
Sumatera Selatan,2023-01-03,17.564771315646833
Kepulauan Riau,2023-01-03,5.426236122437444
Riau,2023-01-03,19.68240826359565
Sulawesi Barat,2023-01-03,0.5485030764240807
Sulawesi Selatan,2023-01-03,4.0937313987617525
Aceh,2023-01-03,5.0118620779832685
Bali,2023-01-03,1.5359436729892475
DI Yogyakarta,2023-01-03,5.316721638262722
DKI Jakarta,2023-01-03,27.37333862655449
Jambi,2023-01-03,23.66117761058718
Jawa Tengah,2023-01-03,9.062244615763996
Jawa Timur,2023-01-03,5.393609663525633
Kalimantan Barat,2023-01-03,15.722217366134284
Kalimantan Selatan,2023-01-03,7.276446901781683
Kalimantan Tengah,2023-01-03,11.192707827090365
Kalimantan Timur,2023-01-03,15.492917301887298
Lampung,2023-01-03,10.77533948273664
Nusa Tenggara Barat,2023-01-03,2.3910118129973976
Nusa Tenggara Timur,2023-01-03,1.5465198997767944
Sulawesi Tengah,2023-01-03,1.1694814094709256
Sulawesi Tenggara,2023-01-03,3.7279684789272975
Sumatera Barat,2023-01-03,19.21468920703596
Sumatera Utara,2023-01-03,9.81695863046098
Maluku,2023-01-04,8.673066990316144
Maluku Utara,2023-01-04,1.5642847316899526
Kepulauan Bangka Belitung,2023-01-04,21.50428426413388
Banten,2023-01-04,12.420249135324651
Gorontalo,2023-01-04,0.0769184972132825
Papua Barat,2023-01-04,3.890760883406079
Jawa Barat,2023-01-04,15.578298556799671
Papua,2023-01-04,9.50575447424016
Sulawesi Utara,2023-01-04,0.0706493163604866
Sumatera Selatan,2023-01-04,9.129879925894263
Kepulauan Riau,2023-01-04,9.242902086749591
Riau,2023-01-04,13.613470450805854
Sulawesi Barat,2023-01-04,2.9139028645627283
Sulawesi Selatan,2023-01-04,11.656938167178357
Aceh,2023-01-04,4.598892165829128
Bali,2023-01-04,0.0422632925162797
DI Yogyakarta,2023-01-04,4.107632575644479
DKI Jakarta,2023-01-04,16.138747030792295
Jambi,2023-01-04,12.0879190072723
Jawa Tengah,2023-01-04,7.40254932495671
Jawa Timur,2023-01-04,3.68290480260168
Kalimantan Barat,2023-01-04,7.255280208932726
Kalimantan Selatan,2023-01-04,9.204572998368125
