Tanggal,Provinsi,Harga
2023-01-02,Aceh,25750.0
2023-01-03,Aceh,25750.0
2023-01-04,Aceh,25750.0
2023-01-05,Aceh,25750.0
2023-01-06,Aceh,25750.0
2023-01-09,Aceh,25750.0
2023-01-10,Aceh,25750.0
2023-01-11,Aceh,25750.0
2023-01-12,Aceh,25750.0
2023-01-13,Aceh,25750.0
2023-01-16,Aceh,25750.0
2023-01-17,Aceh,25750.0
2023-01-18,Aceh,25750.0
2023-01-19,Aceh,25750.0
2023-01-20,Aceh,25750.0
2023-01-23,Aceh,25750.0
2023-01-24,Aceh,25750.0
2023-01-25,Aceh,22500.0
2023-01-26,Aceh,22500.0
2023-01-27,Aceh,22500.0
2023-01-30,Aceh,22500.0
2023-01-31,Aceh,22500.0
2023-02-01,Aceh,22500.0
2023-02-02,Aceh,22500.0
2023-02-03,Aceh,22500.0
2023-02-06,Aceh,22500.0
2023-02-07,Aceh,22500.0
2023-02-08,Aceh,22500.0
2023-02-09,Aceh,22500.0
2023-02-10,Aceh,22500.0
2023-02-13,Aceh,22500.0
2023-02-14,Aceh,22500.0
2023-02-15,Aceh,22500.0
2023-02-16,Aceh,22500.0
2023-02-17,Aceh,22500.0
2023-02-20,Aceh,22500.0
2023-02-21,Aceh,22500.0
2023-02-22,Aceh,22500.0
2023-02-23,Aceh,22500.0
2023-02-24,Aceh,22500.0
2023-02-27,Aceh,19250.0
2023-02-28,Aceh,19250.0
2023-03-01,Aceh,19250.0
2023-03-02,Aceh,19250.0
2023-03-03,Aceh,19250.0
2023-03-06,Aceh,19250.0
2023-03-07,Aceh,19250.0
2023-03-08,Aceh,19250.0
2023-03-09,Aceh,19250.0
2023-03-10,Aceh,19250.0
2023-03-13,Aceh,19250.0
2023-03-14,Aceh,19250.0
2023-03-15,Aceh,19250.0
2023-03-16,Aceh,19250.0
2023-03-17,Aceh,19250.0
2023-03-20,Aceh,19250.0
2023-03-21,Aceh,19250.0
2023-03-22,Aceh,19250.0
2023-03-23,Aceh,19250.0
2023-03-24,Aceh,19250.0
2023-03-27,Aceh,18750.0
2023-03-28,Aceh,18750.0
2023-03-29,Aceh,18750.0
2023-03-30,Aceh,18750.0
2023-03-31,Aceh,19000.0
2023-04-03,Aceh,19000.0
2023-04-04,Aceh,19000.0
2023-04-05,Aceh,19000.0
2023-04-06,Aceh,19000.0
2023-04-07,Aceh,19000.0
2023-04-10,Aceh,19000.0
2023-04-11,Aceh,19000.0
2023-04-12,Aceh,19000.0
2023-04-13,Aceh,19000.0
2023-04-14,Aceh,19000.0
2023-04-17,Aceh,19000.0
2023-04-18,Aceh,19000.0
2023-04-19,Aceh,19000.0
2023-04-20,Aceh,19000.0
2023-04-21,Aceh,19000.0
2023-04-24,Aceh,19000.0
2023-04-25,Aceh,19000.0
2023-04-26,Aceh,15750.0
2023-04-27,Aceh,15750.0
2023-04-28,Aceh,15750.0
2023-05-01,Aceh,15750.0
2023-05-02,Aceh,15750.0
2023-05-03,Aceh,15750.0
2023-05-04,Aceh,15750.0
2023-05-05,Aceh,15750.0
2023-05-08,Aceh,15750.0
2023-05-09,Aceh,15750.0
2023-05-10,Aceh,15750.0
2023-05-11,Aceh,15750.0
2023-05-12,Aceh,15750.0
2023-05-15,Aceh,15750.0
2023-05-16,Aceh,15750.0
2023-05-17,Aceh,15750.0
2023-05-18,Aceh,15750.0
2023-05-19,Aceh,15750.0
2023-05-22,Aceh,15750.0
2023-05-23,Aceh,15750.0
2023-05-24,Aceh,15750.0
2023-05-25,Aceh,18500.0
2023-05-26,Aceh,18500.0
2023-05-29,Aceh,18500.0
2023-05-30,Aceh,18500.0
2023-05-31,Aceh,18500.0
2023-06-01,Aceh,18500.0
2023-06-02,Aceh,18500.0
2023-06-05,Aceh,18500.0
2023-06-06,Aceh,18500.0
2023-06-07,Aceh,18500.0
2023-06-08,Aceh,18500.0
2023-06-09,Aceh,18500.0
2023-06-12,Aceh,18500.0
2023-06-13,Aceh,18500.0
2023-06-14,Aceh,18500.0
2023-06-15,Aceh,18500.0
2023-06-16,Aceh,18500.0
2023-06-19,Aceh,18500.0
2023-06-20,Aceh,18500.0
2023-06-21,Aceh,18500.0
2023-06-22,Aceh,18500.0
2023-06-23,Aceh,18500.0
2023-06-26,Aceh,23000.0
2023-06-27,Aceh,23000.0
2023-06-28,Aceh,23000.0
2023-06-29,Aceh,23000.0
2023-06-30,Aceh,23000.0
2023-07-03,Aceh,23000.0
2023-07-04,Aceh,23000.0
2023-07-05,Aceh,23000.0
2023-07-06,Aceh,23000.0
2023-07-07,Aceh,23000.0
2023-07-10,Aceh,23000.0
2023-07-11,Aceh,23000.0
2023-07-12,Aceh,23000.0
2023-07-13,Aceh,23000.0
2023-07-14,Aceh,23000.0
2023-07-17,Aceh,23000.0
2023-07-18,Aceh,23000.0
2023-07-19,Aceh,23000.0
2023-07-20,Aceh,23000.0
2023-07-21,Aceh,23000.0
2023-07-24,Aceh,23000.0
2023-07-25,Aceh,18000.0
2023-07-26,Aceh,18000.0
2023-07-27,Aceh,18000.0
2023-07-28,Aceh,18000.0
2023-07-31,Aceh,18000.0
2023-08-01,Aceh,18000.0
2023-08-02,Aceh,18000.0
2023-08-03,Aceh,18000.0
2023-08-04,Aceh,18000.0
2023-08-07,Aceh,18000.0
2023-08-08,Aceh,18000.0
2023-08-09,Aceh,18000.0
2023-08-10,Aceh,18000.0
2023-08-11,Aceh,18000.0
2023-08-14,Aceh,18000.0
2023-08-15,Aceh,18000.0
2023-08-16,Aceh,18000.0
2023-08-17,Aceh,18000.0
2023-08-18,Aceh,18000.0
2023-08-21,Aceh,18000.0
2023-08-22,Aceh,18000.0
2023-08-23,Aceh,18000.0
2023-08-24,Aceh,18000.0
2023-08-25,Aceh,18650.0
2023-08-28,Aceh,18650.0
2023-08-29,Aceh,18650.0
2023-08-30,Aceh,18650.0
2023-08-31,Aceh,18650.0
2023-09-01,Aceh,18650.0
2023-09-04,Aceh,18650.0
2023-09-05,Aceh,18650.0
2023-09-06,Aceh,18650.0
2023-09-07,Aceh,18650.0
2023-09-08,Aceh,18650.0
2023-09-11,Aceh,18650.0
2023-09-12,Aceh,18650.0
2023-09-13,Aceh,18650.0
2023-09-14,Aceh,18650.0
2023-09-15,Aceh,18650.0
2023-09-18,Aceh,18650.0
2023-09-19,Aceh,18650.0
2023-09-20,Aceh,18650.0
