Provinsi,Tahun_Raw,LuasPanen,Tahun
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2025,1418.19,2025
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2025,1228.03,2025
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2025,206.45,2025
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2025,2919.58,2025
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2025,3.27,2025
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2025,29.6,2025
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2025,1554.9,2025
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2025,17917.88,2025
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2025,52240.67,2025
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2025,53681.42,2025
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2025,12.15,2025
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2025,86.21,2025
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2025,19.05,2025
Kalimantan Timur,Luas Panen Bawang Merah (hektar) (Ha) 2025,55.81,2025
Kalimantan Utara,Luas Panen Bawang Merah (hektar) (Ha) 2025,0.0,2025
Kepulauan Bangka Belitung,Luas Panen Bawang Merah (hektar) (Ha) 2025,26.7,2025
Kepulauan Riau,Luas Panen Bawang Merah (hektar) (Ha) 2025,8.33,2025
Lampung,Luas Panen Bawang Merah (hektar) (Ha) 2025,223.39,2025
Maluku,Luas Panen Bawang Merah (hektar) (Ha) 2025,222.22,2025
Maluku Utara,Luas Panen Bawang Merah (hektar) (Ha) 2025,216.46,2025
Nusa Tenggara Barat,Luas Panen Bawang Merah (hektar) (Ha) 2025,15160.44,2025
Nusa Tenggara Timur,Luas Panen Bawang Merah (hektar) (Ha) 2025,1387.9,2025
Papua,Luas Panen Bawang Merah (hektar) (Ha) 2025,85.12,2025
Papua Barat,Luas Panen Bawang Merah (hektar) (Ha) 2025,152.6,2025
Riau,Luas Panen Bawang Merah (hektar) (Ha) 2025,44.4,2025
Sulawesi Barat,Luas Panen Bawang Merah (hektar) (Ha) 2025,492.7,2025
Sulawesi Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2025,18974.39,2025
Sulawesi Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2025,527.77,2025
Sulawesi Tenggara,Luas Panen Bawang Merah (hektar) (Ha) 2025,231.92,2025
Sulawesi Utara,Luas Panen Bawang Merah (hektar) (Ha) 2025,663.0,2025
Sumatera Barat,Luas Panen Bawang Merah (hektar) (Ha) 2025,14843.15,2025
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2025,118.32,2025
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2025,3861.34,2025
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2024,1418.19,2024
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2024,1228.03,2024
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2024,206.45,2024
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2024,2919.58,2024
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2024,3.27,2024
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2024,29.6,2024
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2024,1554.9,2024
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2024,17917.88,2024
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2024,52240.67,2024
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2024,53681.42,2024
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2024,12.15,2024
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2024,86.21,2024
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2024,19.05,2024
Kalimantan Timur,Luas Panen Bawang Merah (hektar) (Ha) 2024,55.81,2024
Kalimantan Utara,Luas Panen Bawang Merah (hektar) (Ha) 2024,0.0,2024
Kepulauan Bangka Belitung,Luas Panen Bawang Merah (hektar) (Ha) 2024,26.7,2024
Kepulauan Riau,Luas Panen Bawang Merah (hektar) (Ha) 2024,8.33,2024
Lampung,Luas Panen Bawang Merah (hektar) (Ha) 2024,223.39,2024
Maluku,Luas Panen Bawang Merah (hektar) (Ha) 2024,222.22,2024
Maluku Utara,Luas Panen Bawang Merah (hektar) (Ha) 2024,216.46,2024
Nusa Tenggara Barat,Luas Panen Bawang Merah (hektar) (Ha) 2024,15160.44,2024
Nusa Tenggara Timur,Luas Panen Bawang Merah (hektar) (Ha) 2024,1387.9,2024
Papua,Luas Panen Bawang Merah (hektar) (Ha) 2024,85.12,2024
Papua Barat,Luas Panen Bawang Merah (hektar) (Ha) 2024,152.6,2024
Riau,Luas Panen Bawang Merah (hektar) (Ha) 2024,44.4,2024
Sulawesi Barat,Luas Panen Bawang Merah (hektar) (Ha) 2024,492.7,2024
Sulawesi Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2024,18974.39,2024
Sulawesi Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2024,527.77,2024
Sulawesi Tenggara,Luas Panen Bawang Merah (hektar) (Ha) 2024,231.92,2024
Sulawesi Utara,Luas Panen Bawang Merah (hektar) (Ha) 2024,663.0,2024
Sumatera Barat,Luas Panen Bawang Merah (hektar) (Ha) 2024,14843.15,2024
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2024,118.32,2024
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2024,3861.34,2024
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2023,1474.0,2023
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2023,1142.0,2023
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2023,131.0,2023
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2023,2980.0,2023
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2023,0.0,2023
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2023,37.0,2023
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2023,2128.0,2023
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,16010.0,2023
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2023,46795.0,2023
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2023,51016.0,2023
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,38.0,2023
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2023,88.0,2023
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2023,17.0,2023
