Provinsi,Tahun,Produksi
Aceh,2025,132815.5
Bali,2025,399069.5
Banten,2025,13950.76
DI Yogyakarta,2025,267186.01
DKI Jakarta,2025,52.73
Gorontalo,2025,371.0
Jambi,2025,218558.98
Jawa Barat,2025,1994154.01
Jawa Tengah,2025,5840345.01
Jawa Timur,2025,5003012.27
Kalimantan Barat,2025,86.0
Kalimantan Selatan,2025,3530.65
Kalimantan Tengah,2025,163.0
Kalimantan Timur,2025,910.1
Kalimantan Utara,2025,756.0
Kepulauan Bangka Belitung,2025,548.0
Kepulauan Riau,2025,286.8
Lampung,2025,12897.8
Maluku,2025,3250.44
Maluku Utara,2025,3338.76
Nusa Tenggara Barat,2025,1715496.88
Nusa Tenggara Timur,2025,95628.96
Papua,2025,1066.0
Papua Barat,2025,344.41
Riau,2025,400.41
Sulawesi Barat,2025,9687.22
Sulawesi Selatan,2025,3227415.59
Sulawesi Tengah,2025,20362.93
Sulawesi Tenggara,2025,3970.35
Sulawesi Utara,2025,25546.51
Sumatera Barat,2025,2328953.97
Sumatera Selatan,2025,9178.84
Sumatera Utara,2025,520953.05
Aceh,2024,131843.96
Bali,2024,350993.58
Banten,2024,10807.01
DI Yogyakarta,2024,333117.91
DKI Jakarta,2024,129.27
Gorontalo,2024,1956.0
Jambi,2024,122876.65
Jawa Barat,2024,1998916.86
Jawa Tengah,2024,6078967.21
Jawa Timur,2024,4766656.52
Kalimantan Barat,2024,216.88
Kalimantan Selatan,2024,4900.9
Kalimantan Tengah,2024,463.05
Kalimantan Timur,2024,3444.55
Kalimantan Utara,2024,0.0
Kepulauan Bangka Belitung,2024,1198.46
Kepulauan Riau,2024,1022.9
Lampung,2024,16487.2
Maluku,2024,4887.1
Maluku Utara,2024,5712.1
Nusa Tenggara Barat,2024,1598852.8
Nusa Tenggara Timur,2024,81046.35
Papua,2024,3661.3
Papua Barat,2024,1902.36
Riau,2024,2455.15
Sulawesi Barat,2024,8818.9
Sulawesi Selatan,2024,2351870.02
Sulawesi Tengah,2024,32382.96
Sulawesi Tenggara,2024,7821.48
Sulawesi Utara,2024,27506.49
Sumatera Barat,2024,2307184.11
Sumatera Selatan,2024,8965.03
Sumatera Utara,2024,580699.86
Aceh,2023,136726.0
Bali,2023,353739.0
Banten,2023,8600.0
DI Yogyakarta,2023,329526.0
DKI Jakarta,2023,3.0
Gorontalo,2023,2374.0
Jambi,2023,184013.0
Jawa Barat,2023,1793554.0
Jawa Tengah,2023,4790909.0
Jawa Timur,2023,4846695.0
Kalimantan Barat,2023,1095.0
Kalimantan Selatan,2023,4835.0
Kalimantan Tengah,2023,723.0
Kalimantan Timur,2023,2522.0
Kalimantan Utara,2023,3505.0
Kepulauan Bangka Belitung,2023,1757.0
Kepulauan Riau,2023,170.0
Lampung,2023,21930.0
Maluku,2023,6068.0
Maluku Utara,2023,6106.0
Nusa Tenggara Barat,2023,2126183.0
Nusa Tenggara Timur,2023,114091.0
Papua,2023,127.0
Papua Barat,2023,3234.0
Riau,2023,3227.0
Sulawesi Barat,2023,10757.0
Sulawesi Selatan,2023,2014215.0
Sulawesi Tengah,2023,32277.0
Sulawesi Tenggara,2023,4907.0
Sulawesi Utara,2023,31530.0
Sumatera Barat,2023,2339173.0
Sumatera Selatan,2023,11970.0
Sumatera Utara,2023,655852.0
Aceh,2022,100703.0
Bali,2022,314924.0
Banten,2022,13724.0
DI Yogyakarta,2022,223066.0
DKI Jakarta,2022,14.0
Gorontalo,2022,4176.0
Jambi,2022,160502.0
Jawa Barat,2022,1933183.0
Jawa Tengah,2022,5565098.0
Jawa Timur,2022,4783933.0
Kalimantan Barat,2022,440.0
Kalimantan Selatan,2022,2460.0
Kalimantan Tengah,2022,1118.0
Kalimantan Timur,2022,1145.0
Kalimantan Utara,2022,73.0
Kepulauan Bangka Belitung,2022,787.0
Kepulauan Riau,2022,414.0
Lampung,2022,17267.0
Maluku,2022,7593.0
Maluku Utara,2022,8047.0
Nusa Tenggara Barat,2022,2011552.0
Nusa Tenggara Timur,2022,75845.0
Papua,2022,2860.0
Papua Barat,2022,776.0
Riau,2022,1953.0
Sulawesi Barat,2022,7481.0
Sulawesi Selatan,2022,1751599.0
Sulawesi Tengah,2022,34540.0
Sulawesi Tenggara,2022,4493.0
Sulawesi Utara,2022,50196.0
Sumatera Barat,2022,2073758.0
Sumatera Selatan,2022,11299.0
Sumatera Utara,2022,648349.0
Aceh,2021,101357.0
Bali,2021,232151.0
Banten,2021,11896.0
DI Yogyakarta,2021,298087.0
DKI Jakarta,2021,19.0
Gorontalo,2021,3463.0
Jambi,2021,132637.0
Jawa Barat,2021,1706503.0
Jawa Tengah,2021,5642547.0
Jawa Timur,2021,5009921.0
Kalimantan Barat,2021,1037.0
Kalimantan Selatan,2021,3886.0
Kalimantan Tengah,2021,341.0
Kalimantan Timur,2021,724.0
Kalimantan Utara,2021,875.0
Kepulauan Bangka Belitung,2021,2079.0
Kepulauan Riau,2021,332.0
Lampung,2021,17618.0
Maluku,2021,10125.0
Maluku Utara,2021,12314.0
Nusa Tenggara Barat,2021,2226197.0
Nusa Tenggara Timur,2021,114300.0
Papua,2021,3038.0
Papua Barat,2021,1185.0
Riau,2021,3295.0
Sulawesi Barat,2021,6931.0
Sulawesi Selatan,2021,1832095.0
Sulawesi Tengah,2021,46516.0
Sulawesi Tenggara,2021,10153.0
Sulawesi Utara,2021,49860.0
Sumatera Barat,2021,2003656.0
Sumatera Selatan,2021,11246.0
Sumatera Utara,2021,539621.0
Aceh,2020,112465.0
Bali,2020,142074.0
Banten,2020,14041.0
DI Yogyakarta,2020,188105.0
DKI Jakarta,2020,0.0
Gorontalo,2020,4758.0
Jambi,2020,119766.0
Jawa Barat,2020,1648265.0
Jawa Tengah,2020,6111651.0
Jawa Timur,2020,4545837.0
Kalimantan Barat,2020,2269.0
Kalimantan Selatan,2020,4617.0
Kalimantan Tengah,2020,792.0
Kalimantan Timur,2020,2672.0
Kalimantan Utara,2020,902.0
Kepulauan Bangka Belitung,2020,1574.0
Kepulauan Riau,2020,1226.0
Lampung,2020,21048.0
Maluku,2020,11062.0
Maluku Utara,2020,9512.0
Nusa Tenggara Barat,2020,1887404.0
Nusa Tenggara Timur,2020,104238.0
Papua,2020,2091.0
Papua Barat,2020,1362.0
Riau,2020,2633.0
Sulawesi Barat,2020,6311.0
Sulawesi Selatan,2020,1243812.0
Sulawesi Tengah,2020,57255.0
Sulawesi Tenggara,2020,6550.0
Sulawesi Utara,2020,49366.0
Sumatera Barat,2020,1537702.0
Sumatera Selatan,2020,9341.0
Sumatera Utara,2020,292221.0
