Provinsi,Tanggal,Suhu_Celsius
Maluku,2023-01-01,26.385475942921907
Maluku Utara,2023-01-01,25.527391110878803
Kepulauan Bangka Belitung,2023-01-01,26.152371422041732
Banten,2023-01-01,24.692540948143684
Gorontalo,2023-01-01,24.98740918218134
Papua Barat,2023-01-01,25.18518478910201
Jawa Barat,2023-01-01,23.251584788990336
Papua,2023-01-01,24.147954603038517
Sulawesi Utara,2023-01-01,24.51530201979053
Sumatera Selatan,2023-01-01,25.063048148333152
Kepulauan Riau,2023-01-01,26.123337130767407
Riau,2023-01-01,25.693248928558468
Sulawesi Barat,2023-01-01,22.92379493343305
Sulawesi Selatan,2023-01-01,24.33954398089753
Aceh,2023-01-01,21.951742530089724
Bali,2023-01-01,24.057510160672813
DI Yogyakarta,2023-01-01,24.75724763433329
DKI Jakarta,2023-01-01,25.730297299251983
Jambi,2023-01-01,24.75314637579661
Jawa Tengah,2023-01-01,24.11391461792325
Jawa Timur,2023-01-01,24.227767204884422
Kalimantan Barat,2023-01-01,25.538480930266683
Kalimantan Selatan,2023-01-01,27.412954766296345
Kalimantan Tengah,2023-01-01,27.22523557010021
Kalimantan Timur,2023-01-01,25.201207399186607
Lampung,2023-01-01,24.555897019944297
Nusa Tenggara Barat,2023-01-01,24.871744587533342
Nusa Tenggara Timur,2023-01-01,25.051778856002134
Sulawesi Tengah,2023-01-01,23.87802912097664
Sulawesi Tenggara,2023-01-01,25.67152864385343
Sumatera Barat,2023-01-01,23.44224043245444
Sumatera Utara,2023-01-01,23.474061506646446
Maluku,2023-01-02,26.56413364815505
Maluku Utara,2023-01-02,25.40304024220005
Kepulauan Bangka Belitung,2023-01-02,26.253540381894364
Banten,2023-01-02,24.757944679671088
Gorontalo,2023-01-02,25.20286403836139
Papua Barat,2023-01-02,25.754421372816065
Jawa Barat,2023-01-02,23.56921306598648
Papua,2023-01-02,24.80062995367375
Sulawesi Utara,2023-01-02,24.39533533198665
Sumatera Selatan,2023-01-02,24.91928958966328
Kepulauan Riau,2023-01-02,26.235060684391588
Riau,2023-01-02,25.734222014475574
Sulawesi Barat,2023-01-02,22.87796530752398
Sulawesi Selatan,2023-01-02,24.33051430528708
Aceh,2023-01-02,21.941639982455342
Bali,2023-01-02,24.11470943746187
DI Yogyakarta,2023-01-02,24.767051293010045
DKI Jakarta,2023-01-02,25.848750249212756
Jambi,2023-01-02,24.733209618626454
Jawa Tengah,2023-01-02,24.44321838602989
Jawa Timur,2023-01-02,24.298602524842103
Kalimantan Barat,2023-01-02,25.40728692823435
Kalimantan Selatan,2023-01-02,27.068730581112646
Kalimantan Tengah,2023-01-02,26.925702034839723
Kalimantan Timur,2023-01-02,24.85029706008194
Lampung,2023-01-02,24.7042571273137
Nusa Tenggara Barat,2023-01-02,24.788238885390168
Nusa Tenggara Timur,2023-01-02,25.04388834217681
Sulawesi Tengah,2023-01-02,24.00193758314653
Sulawesi Tenggara,2023-01-02,25.946506004790308
Sumatera Barat,2023-01-02,22.824161448334245
Sumatera Utara,2023-01-02,23.08072473338114
Maluku,2023-01-03,26.39639210180717
Maluku Utara,2023-01-03,25.514793507468934
Kepulauan Bangka Belitung,2023-01-03,25.668140248024404
Banten,2023-01-03,24.034536092171585
Gorontalo,2023-01-03,24.57952603223622
Papua Barat,2023-01-03,25.94251725343045
Jawa Barat,2023-01-03,23.08304826950026
Papua,2023-01-03,25.077026483414546
Sulawesi Utara,2023-01-03,24.08461146991625
Sumatera Selatan,2023-01-03,24.266400444251968
Kepulauan Riau,2023-01-03,25.61583735302618
Riau,2023-01-03,25.115799757675397
Sulawesi Barat,2023-01-03,22.54475419112405
Sulawesi Selatan,2023-01-03,23.55236720121394
Aceh,2023-01-03,22.09241214631036
Bali,2023-01-03,24.536207886623416
DI Yogyakarta,2023-01-03,24.56729569437634
DKI Jakarta,2023-01-03,24.936426203924636
Jambi,2023-01-03,24.072015525668395
Jawa Tengah,2023-01-03,24.138853746920056
Jawa Timur,2023-01-03,24.86620798126948
Kalimantan Barat,2023-01-03,24.012895592158426
Kalimantan Selatan,2023-01-03,26.1524329334238
Kalimantan Tengah,2023-01-03,25.88052916901437
Kalimantan Timur,2023-01-03,24.221098051977247
Lampung,2023-01-03,24.19201809449003
Nusa Tenggara Barat,2023-01-03,24.886486344614383
Nusa Tenggara Timur,2023-01-03,24.643231667999945
Sulawesi Tengah,2023-01-03,23.422235421192973
Sulawesi Tenggara,2023-01-03,25.7064828078002
Sumatera Barat,2023-01-03,22.701476796410688
Sumatera Utara,2023-01-03,23.094747196662897
Maluku,2023-01-04,26.08931988188779
Maluku Utara,2023-01-04,25.510519121071844
Kepulauan Bangka Belitung,2023-01-04,25.699984445606077
Banten,2023-01-04,24.13561176501729
Gorontalo,2023-01-04,24.931616678114217
Papua Barat,2023-01-04,25.5490386727662
Jawa Barat,2023-01-04,22.760948740462204
Papua,2023-01-04,25.22781122681368
Sulawesi Utara,2023-01-04,24.554409019403654
Sumatera Selatan,2023-01-04,24.42000564187959
Kepulauan Riau,2023-01-04,25.705105042023053
Riau,2023-01-04,25.466114814851565
Sulawesi Barat,2023-01-04,22.828580476492416
Sulawesi Selatan,2023-01-04,23.18293934955074
Aceh,2023-01-04,22.420235257429304
Bali,2023-01-04,24.380706881032797
DI Yogyakarta,2023-01-04,24.39403082439311
DKI Jakarta,2023-01-04,25.062302805063226
Jambi,2023-01-04,23.97569402205761
Jawa Tengah,2023-01-04,24.171128085608707
Jawa Timur,2023-01-04,24.770471090813984
Kalimantan Barat,2023-01-04,24.128797661070507
Kalimantan Selatan,2023-01-04,26.052404842800552
Kalimantan Tengah,2023-01-04,26.10600182530635
Kalimantan Timur,2023-01-04,24.8381176027263
Lampung,2023-01-04,24.4284909331389
Nusa Tenggara Barat,2023-01-04,25.434782042769108
Nusa Tenggara Timur,2023-01-04,24.753183375226968
Sulawesi Tengah,2023-01-04,23.64865843205191
Sulawesi Tenggara,2023-01-04,25.24573606305658
Sumatera Barat,2023-01-04,23.082694488310548
Sumatera Utara,2023-01-04,23.631913949878147
Maluku,2023-01-05,26.053063093663734
Maluku Utara,2023-01-05,25.831766201538688
Kepulauan Bangka Belitung,2023-01-05,26.09404567565806
Banten,2023-01-05,24.99854909002171
Gorontalo,2023-01-05,24.90746158774551
Papua Barat,2023-01-05,25.349487353059885
Jawa Barat,2023-01-05,23.34461168776372
Papua,2023-01-05,24.48452888067499
Sulawesi Utara,2023-01-05,24.4805603811738
Sumatera Selatan,2023-01-05,25.26926089259691
Kepulauan Riau,2023-01-05,26.108558450222223
Riau,2023-01-05,25.859484440144307
Sulawesi Barat,2023-01-05,22.40687345382364
Sulawesi Selatan,2023-01-05,23.26053263959679
Aceh,2023-01-05,22.28231827839148
Bali,2023-01-05,24.526818481204614
DI Yogyakarta,2023-01-05,24.242006867756803
DKI Jakarta,2023-01-05,26.20730127342273
Jambi,2023-01-05,24.95864681646836
Jawa Tengah,2023-01-05,24.171191923657386
Jawa Timur,2023-01-05,25.1236028963712
Kalimantan Barat,2023-01-05,24.575964382321448
Kalimantan Selatan,2023-01-05,26.16742098471511
Kalimantan Tengah,2023-01-05,26.088031844991924
Kalimantan Timur,2023-01-05,24.86252318606964
Lampung,2023-01-05,24.876480044691068
Nusa Tenggara Barat,2023-01-05,25.24308762427726
Nusa Tenggara Timur,2023-01-05,24.914649136349617
Sulawesi Tengah,2023-01-05,23.56027158684804
Sulawesi Tenggara,2023-01-05,25.386651256715
Sumatera Barat,2023-01-05,23.651496800558657
Sumatera Utara,2023-01-05,23.415125809719477
Maluku,2023-01-06,25.948372378180665
Maluku Utara,2023-01-06,25.38917474161592
Kepulauan Bangka Belitung,2023-01-06,26.58166484798429
Banten,2023-01-06,25.296442262776843
Gorontalo,2023-01-06,24.643325728433545
Papua Barat,2023-01-06,25.38919434776109
Jawa Barat,2023-01-06,23.87493843118697
Papua,2023-01-06,24.280908902801222
Sulawesi Utara,2023-01-06,24.16629808183232
Sumatera Selatan,2023-01-06,25.70810835278509
Kepulauan Riau,2023-01-06,26.275878160924
Riau,2023-01-06,26.13106997646172
Sulawesi Barat,2023-01-06,22.450081106800567
Sulawesi Selatan,2023-01-06,23.2782102973419
Aceh,2023-01-06,22.22183647040792
Bali,2023-01-06,24.17424700331527
DI Yogyakarta,2023-01-06,24.44449322596548
DKI Jakarta,2023-01-06,26.695870886672544
Jambi,2023-01-06,25.301584734723168
Jawa Tengah,2023-01-06,24.18303320563659
Jawa Timur,2023-01-06,24.47380801267874
Kalimantan Barat,2023-01-06,24.968483113397543
Kalimantan Selatan,2023-01-06,26.027586571966275
Kalimantan Tengah,2023-01-06,25.81701635187276
Kalimantan Timur,2023-01-06,24.42356290170649
Lampung,2023-01-06,25.38618864362249
Nusa Tenggara Barat,2023-01-06,25.183254217873543
Nusa Tenggara Timur,2023-01-06,25.05691339269129
Sulawesi Tengah,2023-01-06,23.482766254673752
Sulawesi Tenggara,2023-01-06,25.42041645422512
Sumatera Barat,2023-01-06,23.220694905246376
Sumatera Utara,2023-01-06,23.314047773622573
Maluku,2023-01-07,25.629302895356016
Maluku Utara,2023-01-07,24.840278488116606
Kepulauan Bangka Belitung,2023-01-07,26.35327705459955
Banten,2023-01-07,24.97579577230399
Gorontalo,2023-01-07,24.45214529057325
Papua Barat,2023-01-07,24.54986709782843
Jawa Barat,2023-01-07,23.75651345448277
Papua,2023-01-07,24.02043653688669
Sulawesi Utara,2023-01-07,23.85361424872858
Sumatera Selatan,2023-01-07,25.39839195681988
Kepulauan Riau,2023-01-07,26.08401005882573
Riau,2023-01-07,25.889662229588136
Sulawesi Barat,2023-01-07,22.5590337714402
Sulawesi Selatan,2023-01-07,23.647663503228948
Aceh,2023-01-07,21.16165715007969
Bali,2023-01-07,24.49627445233577
DI Yogyakarta,2023-01-07,24.74530471773637
DKI Jakarta,2023-01-07,26.54528512001335
Jambi,2023-01-07,24.926098706239884
Jawa Tengah,2023-01-07,24.59166533679793
Jawa Timur,2023-01-07,25.134567486356563
Kalimantan Barat,2023-01-07,24.90558656294444
Kalimantan Selatan,2023-01-07,25.51849290858209
Kalimantan Tengah,2023-01-07,25.862010927974307
Kalimantan Timur,2023-01-07,23.92279597600344
Lampung,2023-01-07,25.474808492742834
Nusa Tenggara Barat,2023-01-07,25.15112387534431
Nusa Tenggara Timur,2023-01-07,25.119195148738264
Sulawesi Tengah,2023-01-07,23.34887101052391
Sulawesi Tenggara,2023-01-07,25.159723924076545
Sumatera Barat,2023-01-07,22.903831529851452
Sumatera Utara,2023-01-07,22.03885594580114
Maluku,2023-01-08,25.59664020921536
Maluku Utara,2023-01-08,24.738837069677604
Kepulauan Bangka Belitung,2023-01-08,26.26667927171831
Banten,2023-01-08,25.041870484483503
Gorontalo,2023-01-08,23.925893328337413
Papua Barat,2023-01-08,25.054234839713768
Jawa Barat,2023-01-08,23.62838619762861
Papua,2023-01-08,24.62937056857162
Sulawesi Utara,2023-01-08,23.705250620890947
Sumatera Selatan,2023-01-08,25.68538237671529
Kepulauan Riau,2023-01-08,26.18781447809076
Riau,2023-01-08,26.171813441939133
Sulawesi Barat,2023-01-08,21.9111003223466
Sulawesi Selatan,2023-01-08,23.41758739701492
Aceh,2023-01-08,21.412910272079447
Bali,2023-01-08,24.11548143839938
DI Yogyakarta,2023-01-08,24.92982068677023
DKI Jakarta,2023-01-08,26.33202469488374
Jambi,2023-01-08,25.27570771335621
Jawa Tengah,2023-01-08,24.742841569320632
Jawa Timur,2023-01-08,24.746985029150892
Kalimantan Barat,2023-01-08,24.27940781551414
Kalimantan Selatan,2023-01-08,24.942561757359787
Kalimantan Tengah,2023-01-08,25.06509824042623
Kalimantan Timur,2023-01-08,23.222038479273493
Lampung,2023-01-08,25.467570965479595
Nusa Tenggara Barat,2023-01-08,25.191748362156197
Nusa Tenggara Timur,2023-01-08,24.78058964260522
Sulawesi Tengah,2023-01-08,22.57868951925072
Sulawesi Tenggara,2023-01-08,25.06804981124345
Sumatera Barat,2023-01-08,22.96039582154523
Sumatera Utara,2023-01-08,22.778006834276997
Maluku,2023-01-09,24.71435856669453
Maluku Utara,2023-01-09,24.32213710551836
Kepulauan Bangka Belitung,2023-01-09,26.09102199412257
Banten,2023-01-09,25.845108814197747
Gorontalo,2023-01-09,24.130137862335538
Papua Barat,2023-01-09,23.88637330798252
Jawa Barat,2023-01-09,24.233024664322933
Papua,2023-01-09,23.694481779786926
Sulawesi Utara,2023-01-09,23.61187401366008
Sumatera Selatan,2023-01-09,25.729845090625
Kepulauan Riau,2023-01-09,26.20292868950888
Riau,2023-01-09,26.20736767046856
Sulawesi Barat,2023-01-09,20.769815040037063
Sulawesi Selatan,2023-01-09,22.329800668466348
Aceh,2023-01-09,22.31279117093137
Bali,2023-01-09,24.09194866029704
DI Yogyakarta,2023-01-09,24.941831954546284
DKI Jakarta,2023-01-09,26.89970240851228
Jambi,2023-01-09,25.12052633978349
Jawa Tengah,2023-01-09,24.50450849521522
Jawa Timur,2023-01-09,24.64146635406686
Kalimantan Barat,2023-01-09,24.711236267699764
Kalimantan Selatan,2023-01-09,24.74046856711439
Kalimantan Tengah,2023-01-09,25.02026231464679
Kalimantan Timur,2023-01-09,23.527173613944623
Lampung,2023-01-09,25.6989804322469
Nusa Tenggara Barat,2023-01-09,24.78239501951147
Nusa Tenggara Timur,2023-01-09,24.790673046708143
Sulawesi Tengah,2023-01-09,22.509670271793556
Sulawesi Tenggara,2023-01-09,24.37601265717641
Sumatera Barat,2023-01-09,23.820569043339205
Sumatera Utara,2023-01-09,23.53928710610416
Maluku,2023-01-10,25.69416746199409
Maluku Utara,2023-01-10,24.702108384738565
Kepulauan Bangka Belitung,2023-01-10,26.470790608622256
Banten,2023-01-10,25.49534262754274
Gorontalo,2023-01-10,23.97196422309509
Papua Barat,2023-01-10,25.08402559309249
Jawa Barat,2023-01-10,23.89150510870352
Papua,2023-01-10,23.8142314286772
Sulawesi Utara,2023-01-10,23.677778346742112
Sumatera Selatan,2023-01-10,25.898825558075345
Kepulauan Riau,2023-01-10,26.14652640351856
Riau,2023-01-10,26.033326249293115
Sulawesi Barat,2023-01-10,21.276138122553757
Sulawesi Selatan,2023-01-10,22.813068945528983
Aceh,2023-01-10,22.132573840646863
Bali,2023-01-10,24.189007129584585
DI Yogyakarta,2023-01-10,25.005588773754567
DKI Jakarta,2023-01-10,26.53753681047089
Jambi,2023-01-10,25.141234865677948
Jawa Tengah,2023-01-10,24.761483642623983
Jawa Timur,2023-01-10,24.79134214116285
Kalimantan Barat,2023-01-10,25.10653279270979
Kalimantan Selatan,2023-01-10,25.04863682260237
Kalimantan Tengah,2023-01-10,25.24844137568452
Kalimantan Timur,2023-01-10,23.478540059997165
Lampung,2023-01-10,25.558350425120636
Nusa Tenggara Barat,2023-01-10,24.83266934304579
Nusa Tenggara Timur,2023-01-10,24.983223624821974
Sulawesi Tengah,2023-01-10,22.69766607918717
Sulawesi Tenggara,2023-01-10,25.0443045568033
Sumatera Barat,2023-01-10,23.13693534959578
Sumatera Utara,2023-01-10,23.05897490369292
Maluku,2023-01-11,25.722115046045165
Maluku Utara,2023-01-11,25.179747129885712
Kepulauan Bangka Belitung,2023-01-11,26.159340378021
Banten,2023-01-11,25.83868380740052
Gorontalo,2023-01-11,24.52195808267971
Papua Barat,2023-01-11,24.239707098895224
Jawa Barat,2023-01-11,24.166215422681585
Papua,2023-01-11,23.644844756749585
Sulawesi Utara,2023-01-11,24.06210366741892
Sumatera Selatan,2023-01-11,25.22724352564428
Kepulauan Riau,2023-01-11,25.875665648346985
Riau,2023-01-11,24.827081235070143
Sulawesi Barat,2023-01-11,21.66415415932136
Sulawesi Selatan,2023-01-11,23.234184745584283
Aceh,2023-01-11,21.84973410130852
Bali,2023-01-11,24.46241678651249
DI Yogyakarta,2023-01-11,24.976277452723
DKI Jakarta,2023-01-11,26.698024422005968
Jambi,2023-01-11,24.056233077689438
Jawa Tengah,2023-01-11,24.84639011410006
Jawa Timur,2023-01-11,25.04399340485913
Kalimantan Barat,2023-01-11,25.0550209685584
Kalimantan Selatan,2023-01-11,25.552460651596608
Kalimantan Tengah,2023-01-11,25.605519725953062
Kalimantan Timur,2023-01-11,24.47156337129088
Lampung,2023-01-11,25.31745812080932
Nusa Tenggara Barat,2023-01-11,25.054152488527897
Nusa Tenggara Timur,2023-01-11,24.664083704059784
Sulawesi Tengah,2023-01-11,23.095936317954195
Sulawesi Tenggara,2023-01-11,25.04494478006835
Sumatera Barat,2023-01-11,22.650280373064632
Sumatera Utara,2023-01-11,22.60505540178747
Maluku,2023-01-12,25.720917319704057
Maluku Utara,2023-01-12,25.04188583101821
Kepulauan Bangka Belitung,2023-01-12,26.51013987005915
Banten,2023-01-12,26.327284140606263
Gorontalo,2023-01-12,23.67423890256177
Papua Barat,2023-01-12,24.99274479347074
Jawa Barat,2023-01-12,24.62333621758044
Papua,2023-01-12,23.596989132177267
Sulawesi Utara,2023-01-12,23.069668500287467
Sumatera Selatan,2023-01-12,25.71155432580877
Kepulauan Riau,2023-01-12,26.54959452626387
Riau,2023-01-12,25.8036933193996
Sulawesi Barat,2023-01-12,22.35780913305491
Sulawesi Selatan,2023-01-12,23.675867916721284
Aceh,2023-01-12,22.02679158125096
Bali,2023-01-12,24.244368035280026
DI Yogyakarta,2023-01-12,25.30171132622552
DKI Jakarta,2023-01-12,27.302831022734267
Jambi,2023-01-12,24.986645394492967
Jawa Tengah,2023-01-12,25.144664730102395
Jawa Timur,2023-01-12,25.002777545238768
Kalimantan Barat,2023-01-12,25.20643186808841
Kalimantan Selatan,2023-01-12,25.38831691676279
Kalimantan Tengah,2023-01-12,25.77509594304582
Kalimantan Timur,2023-01-12,23.937406985590336
Lampung,2023-01-12,25.699575320523294
Nusa Tenggara Barat,2023-01-12,24.693297593678167
Nusa Tenggara Timur,2023-01-12,24.56190739917581
Sulawesi Tengah,2023-01-12,22.937642575903084
Sulawesi Tenggara,2023-01-12,25.195928322503445
