Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Sumatera Utara,Aceh,1,0.5365332204684617,dengan_kontrol,574,distribusi,0.5863751043371166,False
Sumatera Utara,Aceh,3,0.5729830417018043,dengan_kontrol,574,distribusi,0.6194411261641126,False
Sumatera Utara,Aceh,7,0.39988359540513113,dengan_kontrol,574,distribusi,0.4663365544083162,False
Sumatera Utara,Aceh,14,0.785491199406314,dengan_kontrol,574,distribusi,0.8056319993910912,False
Jawa Timur,Bali,1,0.00033919857647669995,dengan_kontrol,574,distribusi,0.000953807865018989,True
Jawa Timur,Bali,3,0.005428320923529269,dengan_kontrol,574,distribusi,0.011135017279034399,True
Jawa Timur,Bali,7,0.01991512005232723,dengan_kontrol,574,distribusi,0.0344850563676662,True
Jawa Timur,Bali,14,0.07527204742940051,dengan_kontrol,574,distribusi,0.10948661444276438,False
Nusa Tenggara Barat,Bali,1,0.09524781999072339,dengan_kontrol,574,distribusi,0.13366088635943404,False
Nusa Tenggara Barat,Bali,3,0.17579178655730193,dengan_kontrol,574,distribusi,0.22537408532987427,False
Nusa Tenggara Barat,Bali,7,0.4716358564552998,dengan_kontrol,574,distribusi,0.5314206833299153,False
Nusa Tenggara Barat,Bali,14,0.801198229337554,dengan_kontrol,574,distribusi,0.8154689357125231,False
DKI Jakarta,Banten,1,0.6176310590967947,dengan_kontrol,574,distribusi,0.6623389373692169,False
DKI Jakarta,Banten,3,0.6580035512901707,dengan_kontrol,574,distribusi,0.6908173766825939,False
DKI Jakarta,Banten,7,0.8648985302207507,dengan_kontrol,574,distribusi,0.8736348790108593,False
DKI Jakarta,Banten,14,0.3605751567135749,dengan_kontrol,574,distribusi,0.42837268418365754,False
Jawa Barat,Banten,1,0.0926760428132808,dengan_kontrol,574,distribusi,0.13145537987699404,False
Jawa Barat,Banten,3,0.12186430702851145,dengan_kontrol,574,distribusi,0.16468149598447493,False
Jawa Barat,Banten,7,0.23526195125867685,dengan_kontrol,574,distribusi,0.2931613099796596,False
Jawa Barat,Banten,14,0.4939406282589933,dengan_kontrol,574,distribusi,0.5518889701217803,False
Jawa Tengah,Banten,1,0.32975976110924476,dengan_kontrol,574,distribusi,0.39610782115224596,False
Jawa Tengah,Banten,3,0.36513253357949604,dengan_kontrol,574,distribusi,0.43083484788141124,False
Jawa Tengah,Banten,7,0.27972400302918404,dengan_kontrol,574,distribusi,0.34008997328776175,False
Jawa Tengah,Banten,14,0.5207565406513992,dengan_kontrol,574,distribusi,0.5706920993439991,False
Jawa Tengah,DI Yogyakarta,1,9.21440173159052e-12,dengan_kontrol,574,distribusi,1.8428803463181038e-10,True
Jawa Tengah,DI Yogyakarta,3,6.885831764601963e-12,dengan_kontrol,574,distribusi,1.530184836578214e-10,True
Jawa Tengah,DI Yogyakarta,7,1.0439991874023423e-09,dengan_kontrol,574,distribusi,1.3049989842529279e-08,True
Jawa Tengah,DI Yogyakarta,14,9.556978909062879e-11,dengan_kontrol,574,distribusi,1.5928298181771466e-09,True
Jawa Timur,DI Yogyakarta,1,1.5780617666205063e-09,dengan_kontrol,574,distribusi,1.8166466340170382e-08,True
Jawa Timur,DI Yogyakarta,3,4.0046117293442753e-08,dengan_kontrol,574,distribusi,3.1408719445837454e-07,True
Jawa Timur,DI Yogyakarta,7,1.110068391012927e-07,dengan_kontrol,574,distribusi,7.161731554922109e-07,True
