Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Sumatera Utara,Aceh,1,0.7422931721241081,tanpa_kontrol,574,distribusi,0.7960248494628505,False
Sumatera Utara,Aceh,3,0.9774464770396113,tanpa_kontrol,574,distribusi,0.9848327224580466,False
Sumatera Utara,Aceh,7,0.9884238909588856,tanpa_kontrol,574,distribusi,0.9909011438184316,False
Sumatera Utara,Aceh,14,0.9689113498832812,tanpa_kontrol,574,distribusi,0.9786983332154355,False
Sumatera Barat,Sumatera Utara,1,2.2069769693923142e-12,tanpa_kontrol,574,distribusi,2.5964434934027226e-11,True
Sumatera Barat,Sumatera Utara,3,2.2225534914250345e-09,tanpa_kontrol,574,distribusi,1.6463359195740995e-08,True
Sumatera Barat,Sumatera Utara,7,3.988322981043654e-10,tanpa_kontrol,574,distribusi,3.46810694003796e-09,True
Sumatera Barat,Sumatera Utara,14,1.0077908412235593e-09,tanpa_kontrol,574,distribusi,8.062326729788474e-09,True
Riau,Sumatera Utara,1,2.280279949511606e-08,tanpa_kontrol,574,distribusi,1.5459525081434618e-07,True
Riau,Sumatera Utara,3,2.342377989753653e-05,tanpa_kontrol,574,distribusi,8.839162225485484e-05,True
Riau,Sumatera Utara,7,3.949676613858404e-07,tanpa_kontrol,574,distribusi,2.1064941940578155e-06,True
Riau,Sumatera Utara,14,5.135024829432262e-05,tanpa_kontrol,574,distribusi,0.0001786095592846004,True
Jawa Barat,Sumatera Utara,1,4.041730407527696e-06,tanpa_kontrol,574,distribusi,1.7765847945176687e-05,True
Jawa Barat,Sumatera Utara,3,3.312870491549461e-05,tanpa_kontrol,574,distribusi,0.00012046801787452586,True
Jawa Barat,Sumatera Utara,7,6.542875020057328e-06,tanpa_kontrol,574,distribusi,2.754894745287296e-05,True
Jawa Barat,Sumatera Utara,14,0.0002087461006435507,tanpa_kontrol,574,distribusi,0.0006050611612856543,True
Jawa Timur,Sumatera Utara,1,0.00045565702489739783,tanpa_kontrol,574,distribusi,0.0012398830609453002,True
Jawa Timur,Sumatera Utara,3,0.019925114049447964,tanpa_kontrol,574,distribusi,0.03213728072491607,True
Jawa Timur,Sumatera Utara,7,0.09028909852927765,tanpa_kontrol,574,distribusi,0.11764051925638783,False
Jawa Timur,Sumatera Utara,14,0.2661765257965193,tanpa_kontrol,574,distribusi,0.3159365291353345,False
Sumatera Utara,Sumatera Barat,1,0.0041933719539248284,tanpa_kontrol,574,distribusi,0.00818218917838991,True
Sumatera Utara,Sumatera Barat,3,0.042667262977790964,tanpa_kontrol,574,distribusi,0.061613376141214385,False
Sumatera Utara,Sumatera Barat,7,0.30486193694783287,tanpa_kontrol,574,distribusi,0.35656366894483377,False
Sumatera Utara,Sumatera Barat,14,0.8017645251014645,tanpa_kontrol,574,distribusi,0.8484280688904386,False
Jambi,Sumatera Barat,1,1.4829810649227334e-05,tanpa_kontrol,574,distribusi,5.849188275894643e-05,True
Jambi,Sumatera Barat,3,2.3290262864131333e-08,tanpa_kontrol,574,distribusi,1.5526841909420888e-07,True
Jambi,Sumatera Barat,7,8.834867248800544e-07,tanpa_kontrol,574,distribusi,4.589541427948334e-06,True
Jambi,Sumatera Barat,14,1.2673012662746577e-06,tanpa_kontrol,574,distribusi,6.258277858146458e-06,True
Jawa Barat,Sumatera Barat,1,0.5345723989294433,tanpa_kontrol,574,distribusi,0.5939693321438259,False
Jawa Barat,Sumatera Barat,3,0.10477034456094324,tanpa_kontrol,574,distribusi,0.13346540708400412,False
Jawa Barat,Sumatera Barat,7,0.04979197435916493,tanpa_kontrol,574,distribusi,0.07012954135093652,False
Jawa Barat,Sumatera Barat,14,0.05866749286930458,tanpa_kontrol,574,distribusi,0.08036642858808847,False
Jawa Tengah,Sumatera Barat,1,0.04005065839198581,tanpa_kontrol,574,distribusi,0.05868228335822096,False
Jawa Tengah,Sumatera Barat,3,0.011880182164843989,tanpa_kontrol,574,distribusi,0.020395162514753627,True
Jawa Tengah,Sumatera Barat,7,0.00047192426149531106,tanpa_kontrol,574,distribusi,0.0012754709770143543,True
Jawa Tengah,Sumatera Barat,14,0.003990056459468767,tanpa_kontrol,574,distribusi,0.007862180215702005,True
Sumatera Utara,Riau,1,0.001311871340815737,tanpa_kontrol,574,distribusi,0.003161135761001776,True
Sumatera Utara,Riau,3,6.397258025874032e-06,tanpa_kontrol,574,distribusi,2.751508828332917e-05,True
Sumatera Utara,Riau,7,0.00032816771715151106,tanpa_kontrol,574,distribusi,0.0009179516563678631,True
Sumatera Utara,Riau,14,0.00433010799466182,tanpa_kontrol,574,distribusi,0.0083593230205409,True
Sumatera Barat,Riau,1,1.479778051916108e-07,tanpa_kontrol,574,distribusi,8.834495832334973e-07,True
Sumatera Barat,Riau,3,2.532622193115368e-06,tanpa_kontrol,574,distribusi,1.1918222085248791e-05,True
Sumatera Barat,Riau,7,1.8268820699072172e-07,tanpa_kontrol,574,distribusi,1.0746365117101277e-06,True
Sumatera Barat,Riau,14,2.3282489521041305e-07,tanpa_kontrol,574,distribusi,1.3304279726309318e-06,True
Jawa Tengah,Riau,1,0.0834959821942425,tanpa_kontrol,574,distribusi,0.10950292746785902,False
Jawa Tengah,Riau,3,0.007971486006144278,tanpa_kontrol,574,distribusi,0.01410882478963589,True
Jawa Tengah,Riau,7,5.2581497235918235e-05,tanpa_kontrol,574,distribusi,0.00018131550771006288,True
Jawa Tengah,Riau,14,0.001458056661590516,tanpa_kontrol,574,distribusi,0.0034715634799774193,True
Jawa Timur,Riau,1,0.47468035546946896,tanpa_kontrol,574,distribusi,0.5348511047543313,False
Jawa Timur,Riau,3,0.046175912648936536,tanpa_kontrol,574,distribusi,0.06572219077168985,False
Jawa Timur,Riau,7,0.1311424806743953,tanpa_kontrol,574,distribusi,0.1642412715383499,False
Jawa Timur,Riau,14,0.20781300483955598,tanpa_kontrol,574,distribusi,0.2511335405916084,False
Sumatera Barat,Jambi,1,2.39749023374048e-07,tanpa_kontrol,574,distribusi,1.3506987232340735e-06,True
Sumatera Barat,Jambi,3,0.00019236049071240613,tanpa_kontrol,574,distribusi,0.0005657661491541356,True
Sumatera Barat,Jambi,7,0.0006592886595144996,tanpa_kontrol,574,distribusi,0.0017464600252039724,True
Sumatera Barat,Jambi,14,0.004388644585783973,tanpa_kontrol,574,distribusi,0.0083593230205409,True
Jawa Tengah,Jambi,1,0.001775473351124409,tanpa_kontrol,574,distribusi,0.004055534082374706,True
Jawa Tengah,Jambi,3,0.00015548437519057406,tanpa_kontrol,574,distribusi,0.0004747614509635849,True
Jawa Tengah,Jambi,7,0.00040161515728982675,tanpa_kontrol,574,distribusi,0.0011155976591384078,True
Jawa Tengah,Jambi,14,0.0032238650057408186,tanpa_kontrol,574,distribusi,0.006512858597456199,True
Sumatera Barat,Sumatera Selatan,1,3.0935549270307723e-07,tanpa_kontrol,574,distribusi,1.695098590153848e-06,True
Sumatera Barat,Sumatera Selatan,3,1.7281310242189672e-06,tanpa_kontrol,574,distribusi,8.229195353423654e-06,True
Sumatera Barat,Sumatera Selatan,7,6.0113446121588326e-05,tanpa_kontrol,574,distribusi,0.0002020620037700448,True
Sumatera Barat,Sumatera Selatan,14,5.728407804167026e-05,tanpa_kontrol,574,distribusi,0.00019418331539549242,True
Lampung,Sumatera Selatan,1,0.003040314816502267,tanpa_kontrol,574,distribusi,0.006236543213337983,True
Lampung,Sumatera Selatan,3,0.00585636017703109,tanpa_kontrol,574,distribusi,0.010795133966877585,True
Lampung,Sumatera Selatan,7,0.03543527709782917,tanpa_kontrol,574,distribusi,0.0532861309741792,False
Lampung,Sumatera Selatan,14,3.6089903471163636e-06,tanpa_kontrol,574,distribusi,1.6220181335354444e-05,True
Jawa Tengah,Sumatera Selatan,1,0.0009666320322956576,tanpa_kontrol,574,distribusi,0.002416580080739144,True
Jawa Tengah,Sumatera Selatan,3,3.3243603527350684e-06,tanpa_kontrol,574,distribusi,1.5110728876068492e-05,True
Jawa Tengah,Sumatera Selatan,7,2.0629619993768268e-05,tanpa_kontrol,574,distribusi,7.858902854768864e-05,True
Jawa Tengah,Sumatera Selatan,14,8.456443638159916e-05,tanpa_kontrol,574,distribusi,0.00027726044715278413,True
DI Yogyakarta,Sumatera Selatan,1,0.17540336451591654,tanpa_kontrol,574,distribusi,0.21325637023211738,False
DI Yogyakarta,Sumatera Selatan,3,0.32165043386792586,tanpa_kontrol,574,distribusi,0.370057093196406,False
DI Yogyakarta,Sumatera Selatan,7,0.6083545467315498,tanpa_kontrol,574,distribusi,0.6666899142263559,False
DI Yogyakarta,Sumatera Selatan,14,0.8132617026624771,tanpa_kontrol,574,distribusi,0.8565768784419842,False
Jawa Timur,Sumatera Selatan,1,0.0015742991430961598,tanpa_kontrol,574,distribusi,0.0037042332778733176,True
Jawa Timur,Sumatera Selatan,3,0.001957450353509925,tanpa_kontrol,574,distribusi,0.004398764839348145,True
Jawa Timur,Sumatera Selatan,7,0.016237707446361636,tanpa_kontrol,574,distribusi,0.027405413411580818,True
Jawa Timur,Sumatera Selatan,14,0.0010340136847380261,tanpa_kontrol,574,distribusi,0.002521984596922015,True
DKI Jakarta,Lampung,1,0.14246191205553016,tanpa_kontrol,574,distribusi,0.17642342050220453,False
DKI Jakarta,Lampung,3,0.6127940810614249,tanpa_kontrol,574,distribusi,0.6688183059240137,False
DKI Jakarta,Lampung,7,0.9181386657744492,tanpa_kontrol,574,distribusi,0.9441014558092022,False
DKI Jakarta,Lampung,14,0.8436599952983627,tanpa_kontrol,574,distribusi,0.8834136076422646,False
Jawa Barat,Lampung,1,4.5867436161417775e-11,tanpa_kontrol,574,distribusi,4.704352426812079e-10,True
Jawa Barat,Lampung,3,4.256140188650934e-10,tanpa_kontrol,574,distribusi,3.622246969064625e-09,True
Jawa Barat,Lampung,7,1.0993838831348354e-08,tanpa_kontrol,574,distribusi,7.852742022391681e-08,True
Jawa Barat,Lampung,14,1.3021807804866222e-08,tanpa_kontrol,574,distribusi,8.980557106804291e-08,True
Jawa Tengah,Lampung,1,2.8350770132413245e-06,tanpa_kontrol,574,distribusi,1.3034836842488849e-05,True
Jawa Tengah,Lampung,3,3.988113936642522e-06,tanpa_kontrol,574,distribusi,1.7724950829522317e-05,True
Jawa Tengah,Lampung,7,3.366759949109388e-05,tanpa_kontrol,574,distribusi,0.00012132468285078875,True
Jawa Tengah,Lampung,14,0.00016688100312982468,tanpa_kontrol,574,distribusi,0.0005057000094843172,True
Jawa Timur,Lampung,1,0.00379654943645065,tanpa_kontrol,574,distribusi,0.007555322261593334,True
Jawa Timur,Lampung,3,0.008106778491202412,tanpa_kontrol,574,distribusi,0.014285072231193678,True
Jawa Timur,Lampung,7,0.024467697196653527,tanpa_kontrol,574,distribusi,0.03838070148494671,True
Jawa Timur,Lampung,14,0.025314685951863623,tanpa_kontrol,574,distribusi,0.03940028941924299,True
DKI Jakarta,Kepulauan Bangka Belitung,1,9.018314811625506e-15,tanpa_kontrol,574,distribusi,1.5684025759348706e-13,True
DKI Jakarta,Kepulauan Bangka Belitung,3,8.224166943506484e-19,tanpa_kontrol,574,distribusi,1.827592654112552e-17,True
DKI Jakarta,Kepulauan Bangka Belitung,7,2.3267212493169779e-23,tanpa_kontrol,574,distribusi,7.75573749772326e-22,True
DKI Jakarta,Kepulauan Bangka Belitung,14,4.748255273612678e-21,tanpa_kontrol,574,distribusi,1.2662014062967142e-19,True
Jawa Barat,Kepulauan Bangka Belitung,1,2.0928870625899782e-22,tanpa_kontrol,574,distribusi,6.439652500276856e-21,True
Jawa Barat,Kepulauan Bangka Belitung,3,2.0172633269262442e-41,tanpa_kontrol,574,distribusi,1.6138106615409953e-39,True
Jawa Barat,Kepulauan Bangka Belitung,7,1.1879381553319702e-46,tanpa_kontrol,574,distribusi,1.583917540442627e-44,True
Jawa Barat,Kepulauan Bangka Belitung,14,9.731782454719735e-50,tanpa_kontrol,574,distribusi,2.389379551147247e-47,True
Jawa Tengah,Kepulauan Bangka Belitung,1,2.1540228913449064e-31,tanpa_kontrol,574,distribusi,9.573435072644029e-30,True
Jawa Tengah,Kepulauan Bangka Belitung,3,1.6105545127043422e-39,tanpa_kontrol,574,distribusi,1.0737030084695616e-37,True
Jawa Tengah,Kepulauan Bangka Belitung,7,3.529298290198761e-46,tanpa_kontrol,574,distribusi,3.529298290198761e-44,True
Jawa Tengah,Kepulauan Bangka Belitung,14,1.1946897755736236e-49,tanpa_kontrol,574,distribusi,2.389379551147247e-47,True
Jawa Timur,Kepulauan Bangka Belitung,1,5.536632957146472e-20,tanpa_kontrol,574,distribusi,1.302737166387405e-18,True
Jawa Timur,Kepulauan Bangka Belitung,3,4.7631243796627175e-28,tanpa_kontrol,574,distribusi,1.9052497518650868e-26,True
Jawa Timur,Kepulauan Bangka Belitung,7,1.0522309987421593e-36,tanpa_kontrol,574,distribusi,6.01274856424091e-35,True
Jawa Timur,Kepulauan Bangka Belitung,14,1.6860779381697283e-36,tanpa_kontrol,574,distribusi,8.430389690848641e-35,True
Sumatera Utara,Kepulauan Riau,1,0.35813467808115174,tanpa_kontrol,574,distribusi,0.4092967749498877,False
Sumatera Utara,Kepulauan Riau,3,0.08474977346489622,tanpa_kontrol,574,distribusi,0.11078401760117153,False
Sumatera Utara,Kepulauan Riau,7,0.039865206594140945,tanpa_kontrol,574,distribusi,0.05868228335822096,False
Sumatera Utara,Kepulauan Riau,14,0.23063564039514586,tanpa_kontrol,574,distribusi,0.2753858392777861,False
Jawa Tengah,Kepulauan Riau,1,0.06968129923510585,tanpa_kontrol,574,distribusi,0.09416391788527818,False
Jawa Tengah,Kepulauan Riau,3,0.1560923075623014,tanpa_kontrol,574,distribusi,0.1921136093074479,False
Jawa Tengah,Kepulauan Riau,7,0.6077530435943455,tanpa_kontrol,574,distribusi,0.6666899142263559,False
Jawa Tengah,Kepulauan Riau,14,0.9156925145741508,tanpa_kontrol,574,distribusi,0.9440129016228359,False
Jawa Barat,DKI Jakarta,1,3.167809353253009e-12,tanpa_kontrol,574,distribusi,3.620353546574868e-11,True
Jawa Barat,DKI Jakarta,3,1.1113718870929678e-12,tanpa_kontrol,574,distribusi,1.532926740817887e-11,True
Jawa Barat,DKI Jakarta,7,2.543428769941715e-13,tanpa_kontrol,574,distribusi,3.633469671345307e-12,True
Jawa Barat,DKI Jakarta,14,5.159486273008295e-15,tanpa_kontrol,574,distribusi,9.380884132742354e-14,True
Jawa Tengah,DKI Jakarta,1,0.016785317174797865,tanpa_kontrol,574,distribusi,0.0280925810456868,True
Jawa Tengah,DKI Jakarta,3,1.1090543300496362e-06,tanpa_kontrol,574,distribusi,5.615464962276639e-06,True
Jawa Tengah,DKI Jakarta,7,0.0001039884537860332,tanpa_kontrol,574,distribusi,0.0003354466251162361,True
Jawa Tengah,DKI Jakarta,14,1.0827812209414562e-05,tanpa_kontrol,574,distribusi,4.465077199758583e-05,True
DI Yogyakarta,DKI Jakarta,1,0.5158823697000463,tanpa_kontrol,574,distribusi,0.5747992977159291,False
DI Yogyakarta,DKI Jakarta,3,0.005890570946986256,tanpa_kontrol,574,distribusi,0.010808387058690378,True
DI Yogyakarta,DKI Jakarta,7,0.038256614451920475,tanpa_kontrol,574,distribusi,0.05688715903631297,False
DI Yogyakarta,DKI Jakarta,14,0.039027609314785314,tanpa_kontrol,574,distribusi,0.05781868046634861,False
