Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan,kekuatan_tambahan_R2
Jawa Barat,Kepulauan Bangka Belitung,14,1.5853376397142556e-37,dengan_kontrol,574,distribusi,6.341350558857023e-35,True,0.36366149383896784
Jawa Tengah,Kepulauan Bangka Belitung,14,1.6304920661900004e-31,dengan_kontrol,574,distribusi,1.6304920661900006e-29,True,0.3632197928471569
Jawa Timur,Kepulauan Bangka Belitung,14,7.222550314654822e-19,dengan_kontrol,574,distribusi,4.1271716083741835e-17,True,0.29350647342493275
DKI Jakarta,Kepulauan Bangka Belitung,7,7.228413121659154e-13,dengan_kontrol,574,distribusi,1.9559303353699047e-11,True,0.18442663970325168
Jawa Tengah,Jawa Barat,7,8.160654959512284e-12,dengan_kontrol,574,distribusi,1.7180326230552174e-10,True,0.12004960942983489
Sulawesi Utara,Maluku Utara,7,1.0386133699229378e-08,dengan_kontrol,574,distribusi,9.661519720213377e-08,True,0.11593270447344095
Sulawesi Utara,Kalimantan Utara,14,1.5895658047649082e-09,dengan_kontrol,574,distribusi,1.8166466340170385e-08,True,0.11365635903183091
Jawa Tengah,DI Yogyakarta,3,6.885831764601963e-12,dengan_kontrol,574,distribusi,1.530184836578214e-10,True,0.10921272308949026
Jawa Barat,Jawa Tengah,1,7.690689305955376e-16,dengan_kontrol,574,distribusi,3.07627572238215e-14,True,0.0997980709501598
Sumatera Barat,Riau,14,5.955237601723639e-05,dengan_kontrol,574,distribusi,0.0002001760538394,True,0.09799858670655104
Kalimantan Timur,Kalimantan Utara,3,1.0590673236766344e-07,dengan_kontrol,574,distribusi,7.060448824510896e-07,True,0.09704304551204734
Jawa Timur,Kalimantan Timur,7,2.1393057318463198e-07,dengan_kontrol,574,distribusi,1.2965489283917087e-06,True,0.09238415412136514
Sumatera Barat,Sumatera Utara,7,1.95706278114466e-06,dengan_kontrol,574,distribusi,9.50425547364168e-06,True,0.08855135873923337
Jawa Timur,Sulawesi Selatan,14,9.153388427775812e-08,dengan_kontrol,574,distribusi,6.423430475632148e-07,True,0.08812507758761168
Lampung,Sumatera Selatan,14,0.001854956195173,dengan_kontrol,574,distribusi,0.0043012446950045,True,0.08582819905713501
Gorontalo,Sulawesi Tenggara,7,3.20380227949273e-08,dengan_kontrol,574,distribusi,2.5645507534505574e-07,True,0.08269043686076272
Sulawesi Utara,Maluku,14,6.876006665045327e-06,dengan_kontrol,574,distribusi,3.022420512107836e-05,True,0.08203686497983587
Jawa Barat,DKI Jakarta,1,3.3016884885444636e-10,dengan_kontrol,574,distribusi,4.716697840777805e-09,True,0.08173222190008766
Nusa Tenggara Barat,Kalimantan Selatan,14,3.919761962706939e-06,dengan_kontrol,574,distribusi,1.7817099830486084e-05,True,0.08110822175737675
Kalimantan Selatan,Kalimantan Tengah,1,1.762789206940089e-15,dengan_kontrol,574,distribusi,5.423966790584888e-14,True,0.07974374914458326
Jawa Timur,Papua,14,3.665573112053405e-05,dengan_kontrol,574,distribusi,0.0001309133254304,True,0.07593174074858067
